GeneName	RefSeq_Summary
LOC7488400	serine carboxypeptidase-like 50	serine carboxypeptidase-like 50
LOC7488401	uncharacterized LOC7488401	uncharacterized LOC7488401
LOC7488402	nudix hydrolase 25	nudix hydrolase 25
LOC7488404	probable sulfate transporter 3.3	probable sulfate transporter 3.3
LOC7488405	10 kDa chaperonin, mitochondrial	10 kDa chaperonin, mitochondrial
LOC7488407	MLP-like protein 328	MLP-like protein 328
LOC7488408	phosphomannomutase/phosphoglucomutase	phosphomannomutase/phosphoglucomutase
LOC7488409	protein C2-DOMAIN ABA-RELATED 7	protein C2-DOMAIN ABA-RELATED 7
LOC7488410	uncharacterized At4g22758	uncharacterized At4g22758
LOC7488481	probable leucine-rich repeat receptor-like protein kinase At2g33170	probable leucine-rich repeat receptor-like protein kinase At2g33170
LOC7488482	PHD finger protein At1g33420	PHD finger protein At1g33420
LOC7488562	E3 ubiquitin-protein ligase PRT1	E3 ubiquitin-protein ligase PRT1
LOC7488583	phosphoglucan, water dikinase, chloroplastic	phosphoglucan, water dikinase, chloroplastic
LOC7488584	rho GDP-dissociation inhibitor 1	rho GDP-dissociation inhibitor 1
LOC7488585	MACPF domain-containing protein At1g14780	MACPF domain-containing protein At1g14780
LOC7488587	dCTP pyrophosphatase 1	dCTP pyrophosphatase 1
LOC7488588	transcription factor bHLH77	transcription factor bHLH77
LOC7488589	kinesin-like protein KIN-12B	kinesin-like protein KIN-12B
LOC7488593	stromal processing peptidase, chloroplastic	stromal processing peptidase, chloroplastic
LOC7488594	cysteine proteinase inhibitor B	cysteine proteinase inhibitor B
LOC7488595	uncharacterized LOC7488595	uncharacterized LOC7488595
LOC7488597	xyloglucan endotransglucosylase/hydrolase 2	xyloglucan endotransglucosylase/hydrolase 2
LOC7488598	uncharacterized LOC7488598	uncharacterized LOC7488598
LOC7488600	uncharacterized LOC7488600	uncharacterized LOC7488600
LOC7488601	aspartokinase 2, chloroplastic	aspartokinase 2, chloroplastic
LOC7488602	uncharacterized DDB_G0279979	uncharacterized DDB_G0279979
LOC7488603	putative pentatricopeptide repeat-containing protein At2g01510	putative pentatricopeptide repeat-containing protein At2g01510
LOC7488605	uncharacterized LOC7488605	uncharacterized LOC7488605
LOC7488606	uric acid degradation bifunctional protein TTL	uric acid degradation bifunctional protein TTL
LOC7488609	protein LATE FLOWERING	protein LATE FLOWERING
LOC7488611	probable pectate lyase 8	probable pectate lyase 8
LOC7488612	uncharacterized LOC7488612	uncharacterized LOC7488612
LOC7488613	calmodulin-like protein 3	calmodulin-like protein 3
LOC7488615	protein FAR1-RELATED SEQUENCE 8	protein FAR1-RELATED SEQUENCE 8
LOC7488616	acyl-coenzyme A thioesterase 9, mitochondrial	acyl-coenzyme A thioesterase 9, mitochondrial
LOC7488620	protein SULFUR DEFICIENCY-INDUCED 1	protein SULFUR DEFICIENCY-INDUCED 1
LOC7488621	pantoate--beta-alanine ligase	pantoate--beta-alanine ligase
LOC7488622	vesicle-associated membrane protein 722	vesicle-associated membrane protein 722
LOC7488623	guanine nucleotide-binding protein-like NSN1	guanine nucleotide-binding protein-like NSN1
LOC7488624	uncharacterized LOC7488624	uncharacterized LOC7488624
LOC7488625	basic blue protein	basic blue protein
LOC7488626	desumoylating isopeptidase 1	desumoylating isopeptidase 1
LOC7488628	hevamine-A	hevamine-A
LOC7488629	cyclin-dependent kinase inhibitor 3	cyclin-dependent kinase inhibitor 3
LOC7488630	uncharacterized LOC7488630	uncharacterized LOC7488630
LOC7488712	uncharacterized LOC7488712	uncharacterized LOC7488712
LOC7488713	ethylene-overproduction protein 1	ethylene-overproduction protein 1
LOC7488715	protein TIC 56, chloroplastic	protein TIC 56, chloroplastic
LOC7488716	peroxidase N1	peroxidase N1
LOC7488717	mitoferrin	mitoferrin
LOC7488718	abscisic acid receptor PYL4	abscisic acid receptor PYL4
LOC7488719	uncharacterized LOC7488719	uncharacterized LOC7488719
LOC7488720	protein DETOXIFICATION 44, chloroplastic	protein DETOXIFICATION 44, chloroplastic
LOC7488721	uncharacterized LOC7488721	uncharacterized LOC7488721
LOC7488722	probably inactive leucine-rich repeat receptor-like protein kinase IMK2	probably inactive leucine-rich repeat receptor-like protein kinase IMK2
LOC7488723	PRA1 family protein B4	PRA1 family protein B4
LOC7488724	macrophage migration inhibitory factor homolog	macrophage migration inhibitory factor homolog
LOC7488725	macrophage migration inhibitory factor homolog	macrophage migration inhibitory factor homolog
LOC7488726	macrophage migration inhibitory factor homolog	macrophage migration inhibitory factor homolog
LOC7488732	receptor like protein 7	receptor like protein 7
LOC7488741	ran-binding protein 1 homolog c	ran-binding protein 1 homolog c
LOC7488744	protein SIEL	protein SIEL
LOC7488745	patellin-6	patellin-6
LOC7488746	probable protein phosphatase 2C 65	probable protein phosphatase 2C 65
LOC7488748	uncharacterized LOC7488748	uncharacterized LOC7488748
LOC7488749	CASP-like protein 4B1	CASP-like protein 4B1
LOC7488750	F-box/LRR-repeat protein 3	F-box/LRR-repeat protein 3
LOC7488753	solute carrier family 40 member 2	solute carrier family 40 member 2
LOC7488758	putative pentatricopeptide repeat-containing protein At3g08820	putative pentatricopeptide repeat-containing protein At3g08820
LOC7488759	protein SCAR2	protein SCAR2
LOC7488760	short-chain dehydrogenase reductase 2a	short-chain dehydrogenase reductase 2a
LOC7488763	alpha-soluble NSF attachment protein	alpha-soluble NSF attachment protein
LOC7488764	phosphatidylinositol N-acetylglucosaminyltransferase subunit A	phosphatidylinositol N-acetylglucosaminyltransferase subunit A
LOC7488765	protein LURP-one-related 15	protein LURP-one-related 15
LOC7488766	protein LURP-one-related 15	protein LURP-one-related 15
LOC7488767	protein LURP-one-related 15	protein LURP-one-related 15
LOC7488769	uncharacterized LOC7488769	uncharacterized LOC7488769
LOC7488774	adenine/guanine permease AZG1	adenine/guanine permease AZG1
LOC7488775	U-box domain-containing protein 16	U-box domain-containing protein 16
LOC7488776	transcription repressor OFP2	transcription repressor OFP2
LOC7488777	uncharacterized LOC7488777	uncharacterized LOC7488777
LOC7488852	DUF21 domain-containing protein At2g14520	DUF21 domain-containing protein At2g14520
LOC7488853	RNA-binding protein 1	RNA-binding protein 1
LOC7488856	pre-mRNA-processing protein 40A	pre-mRNA-processing protein 40A
LOC7488857	kinesin-like protein KIN-7N	kinesin-like protein KIN-7N
LOC7488858	phytosulfokines 3	phytosulfokines 3
LOC7488859	protein PHLOEM PROTEIN 2-LIKE A10	protein PHLOEM PROTEIN 2-LIKE A10
LOC7488860	uncharacterized LOC7488860	uncharacterized LOC7488860
LOC7488861	calcium-transporting ATPase 3, endoplasmic reticulum-type	calcium-transporting ATPase 3, endoplasmic reticulum-type
LOC7488862	uncharacterized LOC7488862	uncharacterized LOC7488862
LOC7488863	uncharacterized LOC7488863	uncharacterized LOC7488863
LOC7488864	LIM domain-containing protein WLIM1	LIM domain-containing protein WLIM1
LOC7488865	uncharacterized LOC7488865	uncharacterized LOC7488865
LOC7488867	protein NPGR1	protein NPGR1
LOC7488868	F-box/kelch-repeat protein At5g43190	F-box/kelch-repeat protein At5g43190
LOC7488869	mitochondrial outer membrane protein porin 2	mitochondrial outer membrane protein porin 2
LOC7488870	probable strigolactone esterase DAD2	probable strigolactone esterase DAD2
LOC7488871	cyclin-D5-1	cyclin-D5-1
LOC7488872	activating signal cointegrator 1 complex subunit 2	activating signal cointegrator 1 complex subunit 2
LOC7488873	LOB domain-containing protein 39	LOB domain-containing protein 39
LOC7488876	uncharacterized LOC7488876	uncharacterized LOC7488876
LOC7488880	uncharacterized LOC7488880	uncharacterized LOC7488880
LOC7488882	putative disease resistance protein RGA4	putative disease resistance protein RGA4
LOC7488883	uncharacterized LOC7488883	uncharacterized LOC7488883
LOC7488884	protein GRAVITROPIC IN THE LIGHT 1	protein GRAVITROPIC IN THE LIGHT 1
LOC7488885	axial regulator YABBY 1	axial regulator YABBY 1
LOC7488886	cysteine-rich repeat secretory protein 15	cysteine-rich repeat secretory protein 15
LOC7488887	pectinesterase 2	pectinesterase 2
LOC7488888	methionine aminopeptidase 1A	methionine aminopeptidase 1A
LOC7488889	tubulin-folding cofactor D	tubulin-folding cofactor D
LOC7488890	probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial	probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
LOC7488893	DNA repair protein RAD51 homolog 3	DNA repair protein RAD51 homolog 3
LOC7488896	UDP-glucuronate 4-epimerase 3	UDP-glucuronate 4-epimerase 3
LOC7488897	uncharacterized LOC7488897	uncharacterized LOC7488897
LOC7488898	pentatricopeptide repeat-containing protein At2g45350, chloroplastic	pentatricopeptide repeat-containing protein At2g45350, chloroplastic
LOC7488899	uncharacterized LOC7488899	uncharacterized LOC7488899
LOC7488900	transducin beta-like protein 2	transducin beta-like protein 2
LOC7488901	methylsterol monooxygenase 1-1	methylsterol monooxygenase 1-1
LOC7488902	LOB domain-containing protein 19	LOB domain-containing protein 19
LOC7488903	pentatricopeptide repeat-containing protein At1g01970	pentatricopeptide repeat-containing protein At1g01970
LOC7488904	probable calcium-binding protein CML23	probable calcium-binding protein CML23
LOC7488905	AT-hook motif nuclear-localized protein 22	AT-hook motif nuclear-localized protein 22
LOC7488906	kinesin-like protein KIN-UB	kinesin-like protein KIN-UB
LOC7488907	4-hydroxy-tetrahydrodipicolinate synthase, chloroplastic	4-hydroxy-tetrahydrodipicolinate synthase, chloroplastic
LOC7488908	uncharacterized LOC7488908	uncharacterized LOC7488908
LOC7488909	uncharacterized LOC7488909	uncharacterized LOC7488909
LOC7488910	spastin	spastin
LOC7488911	cytochrome P450 704C1	cytochrome P450 704C1
LOC7488912	interferon-related developmental regulator 1	interferon-related developmental regulator 1
LOC7488913	cytochrome P450 704C1	cytochrome P450 704C1
LOC7488914	uncharacterized LOC7488914	uncharacterized LOC7488914
LOC7488915	synaptotagmin-4	synaptotagmin-4
LOC7488916	receptor-like serine/threonine-protein kinase At2g45590	receptor-like serine/threonine-protein kinase At2g45590
LOC7488917	probable carboxylesterase 8	probable carboxylesterase 8
LOC7488920	glyoxylate/hydroxypyruvate reductase HPR3	glyoxylate/hydroxypyruvate reductase HPR3
LOC7488921	glyoxylate/hydroxypyruvate reductase HPR3	glyoxylate/hydroxypyruvate reductase HPR3
LOC7488922	gibberellin 20 oxidase 1	gibberellin 20 oxidase 1
LOC7488923	polygalacturonate 4-alpha-galacturonosyltransferase	polygalacturonate 4-alpha-galacturonosyltransferase
LOC7488925	MADS-box protein SOC1	MADS-box protein SOC1
LOC7488926	methyltransferase-like protein 5	methyltransferase-like protein 5
LOC7488929	casein kinase 1-like protein 3	casein kinase 1-like protein 3
LOC7488930	probable RNA methyltransferase At5g51130	probable RNA methyltransferase At5g51130
LOC7488931	probable lactoylglutathione lyase, chloroplastic	probable lactoylglutathione lyase, chloroplastic
LOC7488932	protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein	protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein
LOC7488933	ninja-family protein mc410	ninja-family protein mc410
LOC7488934	sugar transport protein 14	sugar transport protein 14
LOC7488935	probable glycosyltransferase At3g07620	probable glycosyltransferase At3g07620
LOC7488937	SNW/SKI-interacting protein	SNW/SKI-interacting protein
LOC7488938	2-oxoglutarate-Fe(II) type oxidoreductase hxnY	2-oxoglutarate-Fe(II) type oxidoreductase hxnY
LOC7488940	putative ABC transporter B family member 8	putative ABC transporter B family member 8
LOC7488941	uncharacterized C3F10.06c	uncharacterized C3F10.06c
LOC7488942	uncharacterized LOC7488942	uncharacterized LOC7488942
LOC7488944	senescence/dehydration-associated protein At4g35985, chloroplastic	senescence/dehydration-associated protein At4g35985, chloroplastic
LOC7488945	cytochrome B5-like protein	cytochrome B5-like protein
LOC7488946	uncharacterized LOC7488946	uncharacterized LOC7488946
LOC7488947	probable 3-hydroxyisobutyrate dehydrogenase-like 1, mitochondrial	probable 3-hydroxyisobutyrate dehydrogenase-like 1, mitochondrial
LOC7488949	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
LOC7488951	GDSL esterase/lipase At1g29660	GDSL esterase/lipase At1g29660
LOC7488953	villin-4	villin-4
LOC7488954	fructose-bisphosphate aldolase 6, cytosolic	fructose-bisphosphate aldolase 6, cytosolic
LOC7488955	transcription factor bHLH146	transcription factor bHLH146
LOC7488956	lysine--tRNA ligase, cytoplasmic	lysine--tRNA ligase, cytoplasmic
LOC7488957	homogentisate phytyltransferase 1, chloroplastic	homogentisate phytyltransferase 1, chloroplastic
LOC7488958	adagio protein 1	adagio protein 1
LOC7488959	WD repeat-containing protein 75	WD repeat-containing protein 75
LOC7488960	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein
LOC7488961	VIN3-like protein 2	VIN3-like protein 2
LOC7488963	AP2-like ethylene-responsive transcription factor AIL5	AP2-like ethylene-responsive transcription factor AIL5
LOC7488964	replication protein A 32 kDa subunit B	replication protein A 32 kDa subunit B
LOC7488966	uncharacterized LOC7488966	uncharacterized LOC7488966
LOC7488967	afadin- and alpha-actinin-binding protein	afadin- and alpha-actinin-binding protein
LOC7488968	NADPH--cytochrome P450 reductase	NADPH--cytochrome P450 reductase
LOC7488970	auxin-responsive protein IAA33	auxin-responsive protein IAA33
LOC7488971	(DL)-glycerol-3-phosphatase 2	(DL)-glycerol-3-phosphatase 2
LOC7488972	uncharacterized LOC7488972	uncharacterized LOC7488972
LOC7488973	histone H4	histone H4
LOC7488974	histone H4	histone H4
LOC7488976	AAA-ATPase At5g57480	AAA-ATPase At5g57480
LOC7488977	pentatricopeptide repeat-containing protein At2g27800, mitochondrial	pentatricopeptide repeat-containing protein At2g27800, mitochondrial
LOC7488978	mitochondrial outer membrane protein porin 4	mitochondrial outer membrane protein porin 4
LOC7488979	hydroxyproline O-galactosyltransferase GALT3	hydroxyproline O-galactosyltransferase GALT3
LOC7488980	uncharacterized LOC7488980	uncharacterized LOC7488980
LOC7488981	4-coumarate--CoA ligase 2	4-coumarate--CoA ligase 2
LOC7488982	CASP-like protein 2C1	CASP-like protein 2C1
LOC7488984	probable xyloglucan endotransglucosylase/hydrolase protein 23	probable xyloglucan endotransglucosylase/hydrolase protein 23
LOC7488985	xyloglucan endotransglucosylase/hydrolase protein 24	xyloglucan endotransglucosylase/hydrolase protein 24
LOC7488986	NAC transcription factor 25	NAC transcription factor 25
LOC7488987	probable xyloglucan endotransglucosylase/hydrolase protein 23	probable xyloglucan endotransglucosylase/hydrolase protein 23
LOC7488990	FGGY carbohydrate kinase domain-containing protein	FGGY carbohydrate kinase domain-containing protein
LOC7488991	pathogenesis-related protein PR-1	pathogenesis-related protein PR-1
LOC7488992	pathogenesis-related protein PR-1	pathogenesis-related protein PR-1
LOC7488994	xylose isomerase	xylose isomerase
LOC7488995	ADP-ribosylation factor 1	ADP-ribosylation factor 1
LOC7488999	diacylglycerol kinase 3	diacylglycerol kinase 3
LOC7489046	uncharacterized LOC7489046	uncharacterized LOC7489046
LOC7489047	anaphase-promoting complex subunit 6	anaphase-promoting complex subunit 6
LOC7489048	putative pumilio homolog 8, chloroplastic	putative pumilio homolog 8, chloroplastic
LOC7489051	MORC family CW-type zinc finger protein 3	MORC family CW-type zinc finger protein 3
LOC7489052	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1
LOC7489053	thioredoxin reductase 1, mitochondrial	thioredoxin reductase 1, mitochondrial
LOC7489055	AT-rich interactive domain-containing protein 6	AT-rich interactive domain-containing protein 6
LOC7489056	protein PIN-LIKES 3	protein PIN-LIKES 3
LOC7489057	uncharacterized LOC7489057	uncharacterized LOC7489057
LOC7489058	2-oxoglutarate-dependent dioxygenase DAO	2-oxoglutarate-dependent dioxygenase DAO
LOC7489059	trihelix transcription factor GTL1	trihelix transcription factor GTL1
LOC7489060	transmembrane protein 120 homolog	transmembrane protein 120 homolog
LOC7489062	RING-H2 finger protein ATL79	RING-H2 finger protein ATL79
LOC7489063	actin-7	actin-7
LOC7489067	uncharacterized LOC7489067	uncharacterized LOC7489067
